long;lat;nombre;domicilio;observ;nro_est;horario;dire_norm;;;;;;;
-58,42547747;-34,63850092;Senillosa;Senillosa 1905 y zañartú;ago-16;67;Estación automática: disponibilidad las 24 horas;1905 SENILLOSA;;;;;;;
-58,4315359;-34,61982854;Guayaquil;Guayaquil 213 y Doblas;Nueva! Septiembre 2016;87;Estación automática: disponibilidad las 24 horas;213 GUAYAQUIL;;;;;;;
-58,42740141;-34,63525028;Avelino Díaz;Avelino Díaz 499 y Doblas;Nueva! Septiembre 2016;97;Estación automática: disponibilidad las 24 horas;499 DIAZ AVELINO;;;;;;;
-58,4224224;-34,62881737;Treinta y Tres Orientales;Constitución 4101 y Treinta y Tres Orientales;Nueva! Septiembre 2016;49;Estación automática: disponibilidad las 24 horas;4101  CONSTITUCION;;;;;;;
-58,40172037;-34,62135608;Saavedra;Saavedra 1027 entre Carlos Calvo Y Humberto 1º;sep-16;86;Estación automática: disponibilidad las 24 horas;1027 SAAVDREA;;;;;;;
-58,39331745;-34,58914974;Cementerio de la Recoleta;Vicente López 2050 entre Junín y Uriburu;Inaugurada 3/10/2016;166;Estación automática: disponibilidad las 24 horas;2050 LOPEZ VICENTE;;;;;;;
-58,36396908;-34,61172068;Azucena Villaflor;Azucena Villaflor y Pierina Dealessi;dic-16;79;Estación automática: disponibilidad las 24 horas;VILLAFLOR AZUCENA y DEALESSI PIERINA;;;;;;;
-58,36309051;-34,61808202;Vera Peñaloza;Rosario Vera Peñaloza y Olga Cossettini;dic-16;150;Estación automática: disponibilidad las 24 horas;ROSARIO VERA PEÑALOZA y OLGA COSSETINI;;;;;;;
-58,40282668;-34,61681258;México;Saavedra y México;dic-16;118;Estación automática: disponibilidad las 24 horas;MEXICO y SAAVEDRA;;;;;;;
-58,39589747;-34,6151962;Rincón;Venezuela 2091 y Rincón;dic-16;106;Estación automática: disponibilidad las 24 horas;2091 REPUBLICA BOLIVARIANA DE VENEZUELA;;;;;;;
-58,40501915;-34,63172469;Salcedo;Salcedo 2908 y Dean Funes;dic-16;92;Estación automática: disponibilidad las 24 horas;2908 SALCEDO;;;;;;;
-58,3948309;-34,61127031;Sarandí;Sarandí entre Adolfo Alsina e Hipólito Yrigoyen;dic-16;77;Estación automática: disponibilidad las 24 horas;SARANDI e YRIGOYEN HIPOLITO AV;;;;;;;
-58,3989047;-34,61212359;Plaza Primero de Mayo;Pichincha entre Adolfo Alsina y Moreno;dic-16;75;Estación automática: disponibilidad las 24 horas;PICHINCHA y ALSINA ADOLFO;;;;;;;
-58,40911048;-34,61754909;Hospital Ramos Mejía;Agrelo entre  Gral. Urquiza, y Gral. La Rioja;dic-16;120;Estación automática: disponibilidad las 24 horas;URQUIZA GRAL y AGRELO;;;;;;;
-58,3609058;-34,61180791;Aimé Painé;Azucena Villaflor 553 entre Calabria y Aimé Painé;dic-16;151;Estación automática: disponibilidad las 24 horas;553 VILLAFLOR AZUCENA;;;;;;;
-58,44290127;-34,59981257;Acevedo;Acevedo y Padilla;ene-17;136;Estación automática: disponibilidad las 24 horas;ACEVEDO y PADILLA;;;;;;;
-58,4424227;-34,58904915;Fitz Roy;Fitz Roy 1092 y Loyola;ene-17;101;Estación automática: disponibilidad las 24 horas;1092 FITZ ROY;;;;;;;
-58,35625741;-34,62878078;Usina del Arte;Caffarena Agustín y Don Pedro de Mendoza;ene-17;108;Estación automática: disponibilidad las 24 horas;CAFFARENA AGUSTIN y DON PEDRO DE MENDOZA;;;;;;;
-58,41551584;-34,61187588;Don Bosco;Don Bosco y Virrey LIniers;ene-17;134;Estación automática: disponibilidad las 24 horas;DON BOSCO y LINIERS VIRREY;;;;;;;
-58,35913143;-34,61748582;Julieta Lanteri;Vera Peñalosa entre Calabria y Julieta Lanteri;ene-17;152;Estación automática: disponibilidad las 24 horas;VERA PEÑALOZA ROSARIO y LANTERI JULIETA;;;;;;;
-58,41967786;-34,60205792;Humahuaca;Humahuaca 3918;ene-17;161;Estación automática: disponibilidad las 24 horas;3918 HUMAHUACA;;;;;;;
-58,38691266;-34,60161603;Uruguay;Tucumán y Uruguay;feb-17;45;Estación automática: disponibilidad las 24 horas;TUCUMAN y URUGUAY;;;;;;;
-58,38076631;-34,6123893;9 de Julio;9 de Julio y Moreno;feb-17;112;Estación automática: disponibilidad las 24 horas;9 DE JULIO AV y MORENO;;;;;;;
-58,39768427;-34,58837184;Emilio Mitre;Plaza Emilio Mitre - Larrea y Pacheco de Melo;feb-17;119;Estación automática: disponibilidad las 24 horas;LARREA y PACHECO DE MELO JOSE;;;;;;;
-58,36823197;-34,60412886;Plaza Hipólito Bouchard;Plaza Hipólito Bouchard - Av Eduardo Madero y Perón Juan;feb-17;128;Estación automática: disponibilidad las 24 horas;MADERO EDUARDO AV y PERON JUAN D;;;;;;;
-58,37367608;-34,60312087;Corrientes;Av Corrientes y San Martín;feb-17;132;Estación automática: disponibilidad las 24 horas;CORRIENTES AV y SAN MARTIN;;;;;;;
-58,37976485;-34,59645576;Marcelo T. de Alvear;Marcelo T de Alvear y Suipacha;feb-17;135;Estación automática: disponibilidad las 24 horas;ALVEAR MARCELO T y SUIPACHA;;;;;;;
-58,38143489;-34,61536396;Lima;Lima y México;feb-17;149;Estación automática: disponibilidad las 24 horas;LIMA y MEXICO;;;;;;;
-58,41210472;-34,60022486;Gallo;Gallo y Tucumán;feb-17;154;Estación automática: disponibilidad las 24 horas;GALLO y TUCUMAN;;;;;;;
-58,36675529;-34,61806695;Facultad de Ingeniería;Estados Unidos entre Azopardo y Huergo Av;feb-17;164;Estación automática: disponibilidad las 24 horas;ESTADOS UNIDOS y AZOPARDO;;;;;;;
-58,37810664;-34,60371878;Esmeralda y Corrientes;Esmeralda y Av Corrientes;feb-17;175;Estación automática: disponibilidad las 24 horas;ESMERALDA y CORRIENTES AV;;;;;;;
-58,40096231;-34,63397763;15 de Noviembre;15 de Noviembre de 1889 2687 entre Catamarca y Jujuy;mar-17;105;Estación automática: disponibilidad las 24 horas;2687 15 DE NOVIEMBRE DE 1889;;;;;;;
-58,42170461;-34,59822218;Acuña de Figueroa;Lavalle y Acuña de Figueroa;mar-17;54;Estación automática: disponibilidad las 24 horas;LAVALLE y ACUÑA DE FIGUEROA FRANCISCO;;;;;;;
-58,43677115;-34,59270672;Castillo;Castillo 815 entre Thames y Serrano;mar-17;100;Estación automática: disponibilidad las 24 horas;815 CASTILLO;;;;;;;
-58,4154594;-34,6017606;Guardia Vieja;Guardia Vieja 3606 entre Billinghurst y Mario Bravo;mar-17;110;Estación automática: disponibilidad las 24 horas;3606 GUARDIA VIEJA;;;;;;;
-58,42040744;-34,59162446;Costa Rica;Costa Rica 4090 y Acuña de Figueroa;mar-17;122;Estación automática: disponibilidad las 24 horas;4090 COSTA RICA;;;;;;;
-58,42959068;-34,59669374;Lerma;Lerma 185 y Julián Álvarez;mar-17;109;Estación automática: disponibilidad las 24 horas;185 LERMA;;;;;;;
