long;lat;nombre;domicilio;nro_est;dire_norm;capacidad;cluster;lat_centroide;long_centroide
-58,41577504;-34,63514804;Las Casas;Las Casas 3587 entre Av. Boedo y Alzaga;140;3587 LAS CASAS;10;9;-34,63585199;-58,40822621
-58,39041055;-34,61183795;Solis y Alsina;Solis 225 y Adolfo Alsina;141;225 SOLIS;12;13;-34,61087343;-58,39112781
-58,4288882;-34,59055422;Armenia y Gorriti;Armenia 1525 entre Gorriti y Honduras;142;1525 ARMENIA;10;8;-34,58900656;-58,42230475
-58,4157587;-34,60463523;Billinghurst y Valentin Gomez;Billinghurst 455 y Valentin Gomez;143;455 BILLINGHURST;12;4;-34,60324799;-58,41692913
-58,40579041;-34,60177971;Pueyrredon;Boulogne Sur Mer y Tucuman;144;BOULOGNE SUR MER y TUCUMAN;12;16;-34,59505198;-58,40788385
-58,43783661;-34,58046947;Ravignani;Ravignani 1883 y Costa Rica;145;1883 RAVIGNANI EMILIO DR;12;21;-34,58015377;-58,43447518
-58,40778755;-34,62219445;Hospital Frances;Hospital Frances: Carlos Calvo y La Rioja;146;CALVO CARLOS y LA RIOJA;12;6;-34,61401247;-58,40832707
-58,37910486;-34,62745541;Constitucion I;Av Brasil 1050 y Lima;147;1050 BRASIL AV;25;15;-34,62707235;-58,37307255
-58,37923189;-34,62749408;Constitucion II;Av Brasil 1060 y Lima;148;1060 BRASIL AV;10;15;-34,62707235;-58,37307255
-58,38143489;-34,61536396;Lima;Lima y Mexico;149;LIMA y MEXICO;10;2;-34,6137215;-58,37767926
-58,36309051;-34,61808202;Vera Penaloza;Rosario Vera Penaloza y Olga Cossettini;150;ROSARIO VERA PENALOZA y OLGA COSSETINI;20;14;-34,61491153;-58,36574412
-58,3609058;-34,61180791;Aime Paine;Azucena Villaflor 553 entre Calabria y Aime Paine;151;553 VILLAFLOR AZUCENA;24;14;-34,61491153;-58,36574412
-58,35913143;-34,61748582;Julieta Lanteri;Vera Penalosa entre Calabria y Julieta Lanteri;152;VERA PENALOZA ROSARIO y LANTERI JULIETA;12;14;-34,61491153;-58,36574412
-58,36208336;-34,63069281;Juan Manuel Blanes;Juan Manuel Blanes 383;153;383 BLANES JUAN MANUEL;10;7;-34,63452619;-58,36182076
-58,41210472;-34,60022486;Gallo;Gallo y Tucumin;154;GALLO y TUCUMAN;12;4;-34,60324799;-58,41692913
-58,4125593;-34,64172791;Parque Jose Evaristo Uriburu;Pque. Jose E. Uriburu - Almafuerte 300;155;300 ALMAFUERTE AV.;12;9;-34,63585199;-58,40822621
-58,40796556;-34,57784911;Plaza Alemania;Plaza Alemania: Del Libertador Av y Cavia;156;DEL LIBERTADOR AV y CAVIA;12;23;-34,58245986;-58,40662574
-58,42795218;-34,62830921;Senillosa y Zuviria;Senillosa 989 y Zuviria;157;989 SENILLOSA;12;3;-34,62800848;-58,42406389
-58,44509866;-34,59283921;Villarroel;Villarroel y Humboldt;158;VILLARROEL y HUMBOLDT;12;0;-34,5899847;-58,44848987
-58,43739683;-34,58503639;Gorriti;Fitz Roy 1590 y Gorriti;159;1590 FITZ ROY;10;21;-34,58015377;-58,43447518
-58,42021025;-34,57296237;Godoy Cruz y Libertador;Godoy Cruz 3291 entre Av Del Libertador y Segui;160;3291 GODOY CRUZ;12;11;-34,57416223;-58,41699018
-58,41967786;-34,60205792;Humahuaca;Humahuaca 3918;161;3918 HUMAHUACA;12;4;-34,60324799;-58,41692913
-58,40194517;-34,6092391;Larrea y Bartolome Mitre;Larrea entre Bartolome Mitre y Av Rivadavia;162;LARREA y MITRE BARTOLOME;12;6;-34,61401247;-58,40832707
-58,4066168;-34,60935549;Once II;Bartolome Mitre y Av Pueyrredon;163;MITRE BARTOLOME y PUEYRREDON AV;20;6;-34,61401247;-58,40832707
-58,36675529;-34,61806695;Facultad de Ingenieria;Estados Unidos entre Azopardo y Huergo Av;164;ESTADOS UNIDOS y AZOPARDO;12;14;-34,61491153;-58,36574412
-58,40785166;-34,59776358;Plaza Monsenor Miguel de Andrea;Plaza Monsenor Miguel de Andrea (Anchorena 900);165;901 ANCHORENA TOMAS MANUEL;12;16;-34,59505198;-58,40788385
-58,39331745;-34,58914974;Cementerio de la Recoleta;Vicente Lopez 2050 entre Junin y Uriburu;166;2050 LOPEZ VICENTE;12;1;-34,58845369;-58,39319024
-58,42878106;-34,61506435;Hipolito Yrigoyen;Hipolito Yrigoyen entre Muniz y La Plata;167;YRIGOYEN HIPOLITO AV y LA PLATA AV;24;10;-34,61326296;-58,42999121
-58,38128261;-34,61861996;Estados Unidos;Estados Unidos y Lima;168;ESTADOS UNIDOS y LIMA;10;2;-34,6137215;-58,37767926
-58,41192476;-34,61202003;Facultad de Psicologia;Hipolito Yrigoyen y 24 de Noviembre;169;YRIGOYEN HIPOLITO y 24 DE NOVIEMBRE;12;6;-34,61401247;-58,40832707
-58,40596622;-34,5997327;San Luis y Ecuador;San Luis 2862 entre Ecuador y Boulogne Sur Mer;170;2862 SAN LUIS;12;16;-34,59505198;-58,40788385
-58,39952687;-34,60324295;Pasteur;Pasteur 501 entre Tucumin y Lavalle;171;501 PASTEUR;12;22;-34,59897542;-58,39544593
-58,37098493;-34,62560718;Brasil;Brasil y Defensa;172;BRASIL AV y DEFENSA;10;15;-34,62707235;-58,37307255
-58,37475251;-34,62205994;Plaza Cecilia Grierson;Av San Juan 632;173;632 SAN JUAN AV;10;15;-34,62707235;-58,37307255
-58,39154878;-34,59726147;Ministerio de Educacion;Marcelo T De Alvear 1698 y Rodriguez Pena;174;1698 ALVEAR MARCELO T DE;10;22;-34,59897542;-58,39544593
-58,37810664;-34,60371878;Esmeralda y Corrientes;Esmeralda y Av Corrientes;175;ESMERALDA y CORRIENTES AV;12;12;-34,60280939;-58,38223635
-58,36093315;-34,63407209;Pinzon;Pinzon 469 y Martin Rodriguez;176;469 PINZON;12;7;-34,63452619;-58,36182076
-58,41215854;-34,56807389;Planetario;Av. Roldan, Belisario y Av. Sarmiento;177;ROLDAN BELISARIO AV y SARMIENTO AV;12;11;-34,57416223;-58,41699018
